City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ancud,-41.8697,-73.8203,64.29,76,9,9.46,CL,1675802046
1,hilo,19.7297,-155.09,77.29,97,100,4.61,US,1675801901
2,fort nelson,58.8053,-122.7002,33.39,72,2,5.1,CA,1675802060
3,rikitea,-23.1203,-134.9692,78.93,74,93,12.28,PF,1675801849
4,lenauheim,45.8719,20.7994,27.01,72,7,6.38,RO,1675802062
5,hermanus,-34.4187,19.2345,68.81,80,82,12.88,ZA,1675801844
6,provideniya,64.3833,-173.3,-16.55,94,57,3.69,RU,1675802070
7,khatanga,71.9667,102.5,-47.13,100,79,2.42,RU,1675801917
8,busselton,-33.65,115.3333,61.16,90,19,9.35,AU,1675801848
9,gladstone,-23.85,151.25,73.33,73,18,6.91,AU,1675802071
10,longyearbyen,78.2186,15.6401,21.04,86,75,44.87,SJ,1675802071
11,jamestown,42.097,-79.2353,47.79,60,100,10.36,US,1675801584
12,vaitape,-16.5167,-151.75,79.99,76,29,11.34,PF,1675802072
13,cape town,-33.9258,18.4232,74.12,74,40,11.99,ZA,1675801845
14,atuona,-9.8,-139.0333,78.42,77,10,15.03,PF,1675801868
15,rocha,-34.4833,-54.3333,79.86,52,47,14.9,UY,1675802074
16,vaini,-21.2,-175.2,79.72,79,56,14.32,TO,1675801841
17,la union,-5.4,-80.75,87.26,46,25,19.93,PE,1675802075
18,upernavik,72.7868,-56.1549,-17.23,96,96,3.09,GL,1675801842
19,marsh harbour,26.5412,-77.0636,71.69,62,4,17.02,BS,1675801968
20,ribas do rio pardo,-20.4431,-53.7592,75.9,87,100,3.89,BR,1675802078
21,los llanos de aridane,28.6585,-17.9182,56.95,79,40,12.66,ES,1675802081
22,parati,-23.2178,-44.7131,75.96,97,100,0.4,BR,1675802081
23,aligarh,27.8833,78.0833,54.1,51,0,8.32,IN,1675802082
24,aksu,41.1231,80.2644,24.35,75,4,6.22,CN,1675802083
25,kungurtug,50.5994,97.5228,-13.65,98,26,1.83,RU,1675802083
26,east london,-33.0153,27.9116,71.94,86,100,11.41,ZA,1675801911
27,luanda,-8.8368,13.2343,80.6,74,75,9.22,AO,1675802040
28,tautira,-17.7333,-149.15,79.45,68,0,6.67,PF,1675801873
29,itaituba,-4.2761,-55.9836,79.54,93,99,0.4,BR,1675802084
30,hithadhoo,-0.6,73.0833,81.27,69,99,7.99,MV,1675801982
31,avarua,-21.2078,-159.775,82.45,78,75,11.5,CK,1675801913
32,chokurdakh,70.6333,147.9167,-36.18,99,99,4.21,RU,1675801845
33,toora-khem,52.4675,96.11,-8.19,100,100,1.54,RU,1675802085
34,halifax,44.6453,-63.5724,33.22,58,84,15.99,CA,1675801672
35,paamiut,61.994,-49.6678,1.11,81,100,9.91,GL,1675801887
36,ponta do sol,32.6667,-17.1,58.01,58,14,4.56,PT,1675801959
37,kavieng,-2.5744,150.7967,81.03,78,100,7.85,PG,1675801903
38,carnarvon,-24.8667,113.6333,76.46,69,0,19.37,AU,1675801901
39,butaritari,3.0707,172.7902,81.09,80,100,22.95,KI,1675801915
40,zyryanka,65.75,150.85,-36.42,99,85,4.09,RU,1675802037
41,tual,-5.6667,132.75,82.47,74,100,21.7,ID,1675802086
42,olafsvik,64.8945,-23.7142,27.41,63,100,34.87,IS,1675801899
43,cabedelo,-6.9811,-34.8339,84.87,65,86,12.37,BR,1675802087
44,airai,-8.9266,125.4092,61.48,93,95,1.1,TL,1675801994
45,rey bouba,8.6724,14.1786,78.6,14,36,1.83,CM,1675802087
46,nipawin,53.3668,-104.0009,42.84,52,0,14.97,CA,1675802087
47,punta arenas,-53.15,-70.9167,62.62,51,75,18.41,CL,1675801838
48,falmouth,50.1544,-5.0711,41.9,93,20,4.61,GB,1675801616
49,bengkulu,-3.8004,102.2655,75.25,84,91,6.51,ID,1675801919
50,baft,29.234,56.6057,44.06,76,69,11.72,IR,1675802088
51,ushuaia,-54.8,-68.3,55.11,56,87,2.91,AR,1675801857
52,lahat,-3.8,103.5333,72.57,92,100,1.86,ID,1675802089
53,bethel,41.3712,-73.414,40.35,50,0,11.5,US,1675801943
54,aklavik,68.2191,-135.0107,-22.0,76,100,4.61,CA,1675802089
55,albany,42.6001,-73.9662,39.72,43,100,4.0,US,1675801617
56,souillac,-20.5167,57.5167,79.18,83,40,13.8,MU,1675802089
57,hami,42.8,93.45,33.1,53,100,4.97,CN,1675802090
58,castro,-24.7911,-50.0119,72.05,76,12,8.05,BR,1675801954
59,marck,50.949,1.9433,34.0,69,43,5.73,FR,1675802040
60,lata,40.1629,-8.3327,52.81,75,3,3.33,PT,1675802036
61,vardo,70.3705,31.1107,31.98,80,0,29.93,NO,1675802090
62,mount gambier,-37.8333,140.7667,54.3,85,5,7.2,AU,1675802091
63,ekhabi,53.5102,142.9671,-14.03,96,100,4.79,RU,1675802091
64,yarada,17.65,83.2667,70.12,100,20,2.3,IN,1675801956
65,port hedland,-20.3167,118.5667,82.45,83,3,0.0,AU,1675802092
66,qaanaaq,77.484,-69.3632,-22.85,64,100,5.12,GL,1675801847
67,fairbanks,64.8378,-147.7164,5.81,82,75,0.0,US,1675802034
68,bairiki,1.3292,172.9752,82.4,78,40,12.66,KI,1675802092
69,beloha,-25.1667,45.05,73.33,84,100,7.05,MG,1675802092
70,bredasdorp,-34.5322,20.0403,67.89,73,99,9.69,ZA,1675801978
71,lebu,-37.6167,-73.65,63.19,73,0,17.81,CL,1675801907
72,keuruu,62.2667,24.7,32.18,97,100,5.39,FI,1675802093
73,cherskiy,68.75,161.3,-32.35,99,100,5.37,RU,1675801860
74,jiuquan,39.7432,98.5174,28.24,45,100,2.3,CN,1675801965
75,plavsk,53.7094,37.2919,12.78,97,23,2.64,RU,1675802094
76,kapaa,22.0752,-159.319,78.78,87,75,11.5,US,1675801916
77,la rioja,42.25,-2.5,29.98,95,82,4.34,ES,1675802094
78,hobart,-42.8794,147.3294,55.26,71,75,5.75,AU,1675801811
79,batemans bay,-35.7167,150.1833,66.09,92,98,4.05,AU,1675801972
80,thompson,55.7435,-97.8558,3.85,93,100,7.34,CA,1675801608
81,hongjiang,27.11,109.9956,47.68,98,100,2.33,CN,1675802095
82,lulea,65.5842,22.1547,35.67,69,0,3.44,SE,1675802095
83,lahij,13.1667,44.5833,71.08,62,12,3.6,YE,1675802095
84,port blair,11.6667,92.75,78.84,78,40,2.3,IN,1675802096
85,victoria,22.2855,114.1577,66.38,92,95,8.01,HK,1675801693
86,port elizabeth,-33.918,25.5701,73.09,92,100,5.01,ZA,1675801916
87,bubaque,11.2833,-15.8333,75.34,68,50,15.61,GW,1675802096
88,mataura,-46.1927,168.8643,48.47,88,86,8.01,NZ,1675801855
89,cockburn town,21.4612,-71.1419,77.41,74,0,21.03,TC,1675802097
90,iqaluit,63.7506,-68.5145,-27.31,67,100,5.99,CA,1675801901
91,aksarka,66.5606,67.7975,-1.91,90,100,15.1,RU,1675802097
92,alofi,-19.0595,-169.9187,73.29,100,100,5.75,NU,1675802097
93,yellowknife,62.456,-114.3525,-1.68,71,75,6.91,CA,1675801835
94,lock haven,41.137,-77.4469,45.63,57,100,6.44,US,1675802098
95,mahebourg,-20.4081,57.7,79.25,83,40,13.8,MU,1675802098
96,flin flon,54.7682,-101.865,15.64,73,100,8.05,CA,1675802099
97,ribeira grande,38.5167,-28.7,54.77,62,20,16.11,PT,1675801852
98,kaeo,-35.1,173.7833,63.32,96,64,4.74,NZ,1675802099
99,mehamn,71.0357,27.8492,37.35,65,40,21.85,NO,1675802100
100,hamilton,39.1834,-84.5333,56.03,79,100,11.5,US,1675801456
101,beringovskiy,63.05,179.3167,-21.08,96,91,7.49,RU,1675802100
102,tiznit,29.5833,-9.5,48.92,82,9,2.48,MA,1675802100
103,saint-philippe,-21.3585,55.7679,78.39,85,92,13.33,RE,1675801846
104,nikolskoye,59.7035,30.7861,28.29,89,98,10.0,RU,1675801920
105,kuna,43.4918,-116.4201,48.22,56,0,8.05,US,1675802102
106,sitka,57.0531,-135.33,37.29,81,75,3.44,US,1675801948
107,karasjok,69.4719,25.5112,31.8,71,41,28.25,NO,1675802107
108,pangnirtung,66.1451,-65.7125,-29.2,75,0,2.3,CA,1675802112
109,torrington,41.8007,-73.1212,39.69,42,100,5.99,US,1675802116
110,kawalu,-7.3817,108.2082,72.23,95,100,2.19,ID,1675802116
111,norman wells,65.282,-126.8329,-0.94,94,100,2.51,CA,1675801914
112,sao filipe,14.8961,-24.4956,68.99,64,2,15.82,CV,1675801970
113,srivardhan,18.0333,73.0167,70.63,65,56,4.43,IN,1675802117
114,new norfolk,-42.7826,147.0587,54.9,65,9,1.07,AU,1675801912
115,vanersborg,58.3807,12.3234,41.58,93,100,11.5,SE,1675802117
116,georgetown,5.4112,100.3354,75.25,89,87,8.05,MY,1675801529
117,saint george,37.1041,-113.5841,52.43,37,0,4.0,US,1675801861
118,bereda,43.2686,-7.5406,39.42,88,81,8.86,ES,1675802118
119,tabas,33.5959,56.9244,56.52,64,7,11.63,IR,1675802119
120,tiksi,71.6872,128.8694,-24.79,99,100,3.67,RU,1675801853
121,ambanja,-13.6833,48.45,74.16,94,100,3.09,MG,1675802123
122,puerto ayora,-0.7393,-90.3518,84.16,89,27,13.0,EC,1675801968
123,luderitz,-26.6481,15.1594,68.14,77,1,20.42,NA,1675801934
124,makakilo city,21.3469,-158.0858,77.32,75,100,11.5,US,1675802125
125,kaitangata,-46.2817,169.8464,49.24,87,98,12.24,NZ,1675801970
126,barrow,71.2906,-156.7887,-7.58,77,100,9.22,US,1675801847
127,faanui,-16.4833,-151.75,79.92,76,28,11.32,PF,1675801965
128,bushenyi,-0.5853,30.2114,62.78,62,88,0.69,UG,1675802129
129,chumikan,54.7183,135.315,-25.15,88,25,9.55,RU,1675802131
130,kismayo,-0.3582,42.5454,76.28,88,49,15.19,SO,1675802136
131,christchurch,-43.5333,172.6333,64.6,66,75,14.97,NZ,1675802133
132,narsaq,60.9167,-46.05,-1.98,70,0,6.53,GL,1675801967
133,westport,41.1415,-73.3579,40.55,59,100,5.01,US,1675801919
134,inirida,3.8653,-67.9239,84.4,70,41,2.44,CO,1675802137
135,berdigestyakh,62.0989,126.6992,-42.2,100,100,1.25,RU,1675802000
136,ulvik,60.5672,6.9187,40.84,99,100,3.69,NO,1675802138
137,usinsk,65.9939,57.5281,9.68,94,100,28.36,RU,1675802138
138,cranbrook,49.4999,-115.7688,37.36,94,92,6.93,CA,1675802029
139,tarimoro,20.2833,-100.75,81.46,15,6,4.92,MX,1675802140
140,vanimo,-2.6741,141.3028,75.96,95,100,4.92,PG,1675802141
141,santa maria,-29.6842,-53.8069,95.7,18,0,4.23,BR,1675801896
142,oktyabrskoye,43.0645,44.7417,15.94,92,100,8.95,RU,1675802141
143,mandalgovi,45.7625,106.2708,4.35,94,34,3.36,MN,1675801952
144,port alfred,-33.5906,26.891,71.19,90,100,1.99,ZA,1675801959
145,margate,51.3813,1.3862,37.9,65,7,5.95,GB,1675802142
146,presidencia roque saenz pena,-26.7852,-60.4388,105.42,15,47,6.44,AR,1675802082
147,leningradskiy,69.3833,178.4167,-25.06,96,100,5.7,RU,1675802142
148,codrington,-38.2667,141.9667,55.33,84,91,7.56,AU,1675802143
149,mount isa,-20.7333,139.5,76.77,100,100,5.75,AU,1675802144
150,araouane,18.9048,-3.5265,74.01,14,42,11.77,ML,1675802144
151,oum hadjer,13.2954,19.6966,76.42,15,56,13.62,TD,1675802145
152,fortuna,40.5982,-124.1573,54.66,73,84,1.01,US,1675801982
153,saskylakh,71.9167,114.0833,-30.75,100,99,1.41,RU,1675801908
154,esperance,-33.8667,121.9,68.58,68,100,10.96,AU,1675801859
155,abu kamal,34.4506,40.9171,47.12,55,98,10.67,SY,1675801888
156,ronnenberg,52.3194,9.6554,31.1,83,0,3.44,DE,1675802145
157,nanortalik,60.1432,-45.2371,5.72,69,41,23.91,GL,1675801974
158,tripoli,32.8752,13.1875,55.65,62,97,22.7,LY,1675801907
159,ornskoldsvik,63.2909,18.7153,34.75,86,100,6.91,SE,1675802146
160,lhokseumawe,5.1801,97.1507,76.32,85,99,1.48,ID,1675802146
161,mattru,7.6244,-11.8332,76.87,70,100,4.63,SL,1675802147
162,bluff,-46.6,168.3333,48.79,66,73,26.17,NZ,1675801876
163,morondava,-20.2833,44.2833,78.39,83,100,4.07,MG,1675802147
164,ontario,34.0633,-117.6509,70.79,26,0,11.99,US,1675802148
165,flinders,-34.5833,150.8552,69.19,91,99,1.99,AU,1675801978
166,saint-paul,-21.0096,55.2707,78.91,77,18,5.06,RE,1675802148
167,abeche,13.8292,20.8324,73.98,17,85,17.78,TD,1675802148
168,pitimbu,-7.4706,-34.8086,84.79,64,97,11.01,BR,1675802149
169,kyshtovka,56.555,76.6271,-2.87,100,92,4.76,RU,1675802149
170,atotonilco el grande,20.2833,-98.6667,74.35,15,2,8.32,MX,1675802150
171,tashtyp,52.7939,89.8983,16.88,97,100,1.95,RU,1675802150
172,nador,35.174,-2.9287,57.45,77,75,12.66,MA,1675802150
173,rawson,-43.3002,-65.1023,71.42,45,40,16.62,AR,1675802151
174,tongliao,43.6125,122.2653,14.22,54,0,7.49,CN,1675802151
175,sechura,-5.5569,-80.8222,83.55,57,26,18.07,PE,1675802152
176,vila,42.0304,-8.1588,36.7,68,14,5.61,PT,1675802152
177,dikson,73.5069,80.5464,-13.79,93,100,20.11,RU,1675801844
178,shache,38.4167,77.2406,30.2,64,0,7.29,CN,1675801909
179,baykit,61.67,96.37,3.09,98,100,1.77,RU,1675801905
180,champerico,14.3,-91.9167,97.34,59,48,12.41,GT,1675802153
181,kamenka,51.3223,42.7678,8.28,95,11,9.4,RU,1675802153
182,hobyo,5.3505,48.5268,76.05,78,10,13.0,SO,1675802083
183,rovaniemi,66.5,25.7167,31.41,93,0,12.66,FI,1675802154
184,flagstaff,35.1981,-111.6513,42.6,41,0,16.11,US,1675802155
185,san patricio,28.017,-97.5169,76.15,67,98,20.62,US,1675802019
186,hofn,64.2539,-15.2082,33.49,81,100,24.34,IS,1675802155
187,saint anthony,45.0205,-93.218,35.78,62,0,11.5,US,1675802156
188,sterling,39.0062,-77.4286,52.72,53,75,14.0,US,1675802066
189,qena,26.1615,32.7183,51.67,40,100,7.67,EG,1675802156
190,zatoka,46.0725,30.4654,28.89,70,88,21.59,UA,1675802157
191,rawah,34.4816,41.9093,48.72,50,63,9.15,IQ,1675802157
192,college,64.8569,-147.8028,9.21,78,75,0.0,US,1675802158
193,arraial do cabo,-22.9661,-42.0278,80.46,83,40,6.91,BR,1675801823
194,matagami,49.7502,-77.6328,21.31,86,100,12.66,CA,1675801997
195,lasa,46.6166,10.7002,31.08,72,3,2.66,IT,1675802158
196,zaranj,30.9667,61.8833,51.76,30,100,6.93,AF,1675802159
197,muroto,33.2833,134.15,52.77,77,51,8.12,JP,1675802159
198,tonstad,58.6626,6.7169,40.21,100,100,3.33,NO,1675802159
199,verkhoyansk,67.5447,133.385,-56.74,100,78,1.16,RU,1675802160
200,khargone,21.8167,75.6,67.71,32,0,3.36,IN,1675802160
201,kruisfontein,-34.0033,24.7314,70.88,82,99,2.57,ZA,1675801981
202,soe,-9.8607,124.284,65.84,92,58,3.56,ID,1675802160
203,zeya,53.75,127.2667,-29.52,96,21,2.95,RU,1675802161
204,yamada,39.4667,141.95,34.5,91,100,9.04,JP,1675802161
205,tasiilaq,65.6145,-37.6368,-0.24,39,2,24.2,GL,1675801850
206,tairua,-37.0167,175.85,68.05,65,100,10.45,NZ,1675802165
207,berlevag,70.8578,29.0864,37.4,75,0,25.32,NO,1675802166
208,dalbandin,28.8947,64.4101,60.73,23,49,1.45,PK,1675802167
209,comodoro rivadavia,-45.8667,-67.5,76.86,25,0,9.22,AR,1675802151
210,oranjemund,-28.55,16.4333,63.7,94,84,14.83,NA,1675802168
211,adrar,20.5022,-10.0711,63.68,19,89,12.24,MR,1675802169
212,novoasbest,57.7422,60.2877,-8.03,100,81,4.12,RU,1675802169
213,shelburne,44.0787,-80.2041,41.45,88,90,23.8,CA,1675802170
214,bambanglipuro,-7.95,110.2833,74.14,94,100,2.75,ID,1675802170
215,rajpipla,21.8667,73.5,70.38,25,0,5.66,IN,1675802171
216,longido,-2.7333,36.6833,69.58,65,97,8.55,TZ,1675802172
217,patiya,22.2931,91.9762,58.51,83,0,4.92,BD,1675802173
218,coihaique,-45.5752,-72.0662,75.15,46,40,9.22,CL,1675801989
219,pevek,69.7008,170.3133,-22.23,94,100,3.13,RU,1675801906
220,nemuro,43.3236,145.575,23.41,80,66,9.64,JP,1675801897
221,sinnamary,5.3833,-52.95,77.68,87,32,12.03,GF,1675802174
222,tongchuan,35.0806,109.0897,41.47,47,100,6.98,CN,1675802175
223,constitucion,-35.3333,-72.4167,69.84,56,12,8.48,CL,1675801852
224,nelson bay,-32.7167,152.15,73.99,84,34,7.0,AU,1675801856
225,antalaha,-14.9003,50.2788,74.28,90,90,5.88,MG,1675802177
226,moengo,5.6167,-54.4,78.35,81,51,6.55,SR,1675802182
227,prykolotne,50.1604,37.3474,14.41,88,8,13.11,UA,1675802183
228,severo-kurilsk,50.6789,156.125,20.64,63,67,11.5,RU,1675801985
229,rio grande,-32.035,-52.0986,87.91,62,10,15.17,BR,1675801854
230,olonets,60.9847,32.9698,25.93,92,100,11.36,RU,1675802184
231,puerto asis,0.5133,-76.5007,84.15,61,55,2.08,CO,1675802054
232,baillif,16.0202,-61.7463,76.5,73,4,13.42,GP,1675802185
233,doha,25.2867,51.5333,71.58,56,0,6.91,QA,1675802185
234,kodiak,57.79,-152.4072,27.91,59,0,14.97,US,1675801966
235,iquique,-20.2208,-70.1431,78.84,73,17,9.4,CL,1675802186
236,kazanskaya,45.4106,40.4361,23.38,93,100,14.94,RU,1675802186
237,talcahuano,-36.7167,-73.1167,76.68,44,0,9.22,CL,1675802187
238,praia da vitoria,38.7333,-27.0667,55.65,71,75,14.41,PT,1675802189
239,ouallam,14.3188,2.0866,81.99,12,95,10.69,NE,1675802189
240,barraute,48.4335,-77.6328,23.27,95,100,11.39,CA,1675802190
241,gushikawa,26.3544,127.8686,67.23,94,40,0.0,JP,1675802190
242,tremembe,-22.9583,-45.5494,73.27,100,75,3.44,BR,1675802192
243,monrovia,6.3005,-10.7969,76.77,89,34,7.16,LR,1675802193
244,bambous virieux,-20.3428,57.7575,79.21,79,23,15.37,MU,1675801846
245,kutum,14.2,24.6667,59.86,28,15,11.65,SD,1675801990
246,assiniboia,49.6334,-105.9845,37.22,65,32,14.97,CA,1675802195
247,ternate,0.8,127.4,76.77,90,100,9.57,ID,1675802196
248,ende,-8.8432,121.6623,77.54,88,90,4.14,ID,1675802198
249,bakel,14.905,-12.4568,82.62,14,23,8.14,SN,1675802199
250,ewa beach,21.3156,-158.0072,78.75,75,40,11.5,US,1675802151
251,katsuura,35.1333,140.3,50.34,83,100,17.98,JP,1675801921
252,zhigansk,66.7697,123.3711,-52.24,100,94,4.34,RU,1675802199
253,port hardy,50.6996,-127.4199,44.78,87,75,4.61,CA,1675802200
254,vicuna,-30.0319,-70.7081,93.78,40,0,8.81,CL,1675802142
255,camacha,33.0833,-16.3333,56.62,67,75,13.8,PT,1675801949
256,mar del plata,-38.0023,-57.5575,84.83,88,4,14.0,AR,1675801654
257,bilma,18.6853,12.9164,69.76,19,76,6.53,NE,1675801918
258,ndele,8.4109,20.6473,77.34,14,18,5.79,CF,1675802201
259,chelmza,53.1846,18.6047,35.22,95,98,1.03,PL,1675802201
260,vila franca do campo,37.7167,-25.4333,55.81,82,72,13.31,PT,1675801972
261,tambacounda,13.7539,-13.7586,86.05,19,0,6.91,SN,1675802201
262,tupsan,9.1992,124.7769,76.44,81,100,10.54,PH,1675802202
263,umba,66.6871,34.3429,35.26,87,100,13.35,RU,1675802202
264,ilulissat,69.2167,-51.1,-9.38,70,75,5.75,GL,1675801907
265,malumfashi,11.7853,7.6218,71.91,18,100,8.95,NG,1675802203
266,leduc,53.2668,-113.552,39.06,60,75,8.05,CA,1675802203
267,grindavik,63.8424,-22.4338,27.07,68,75,23.02,IS,1675802098
268,sorong,-0.8833,131.25,79.02,84,100,8.21,ID,1675801912
269,isangel,-19.55,169.2667,80.31,81,100,0.34,VU,1675802204
270,coahuayana,18.7333,-103.6833,86.41,50,5,8.19,MX,1675802204
271,bathsheba,13.2167,-59.5167,81.21,74,75,18.41,BB,1675802171
272,homer,59.6425,-151.5483,31.89,93,100,25.99,US,1675802205
273,shwebo,22.5667,95.7,62.31,40,0,5.23,MM,1675802205
274,ballina,-28.8667,153.5667,66.78,99,100,4.9,AU,1675802205
275,bandarbeyla,9.4942,50.8122,76.17,76,56,13.76,SO,1675802163
276,canon city,38.441,-105.2424,48.61,21,0,3.44,US,1675802206
277,sambava,-14.2667,50.1667,75.42,89,77,7.25,MG,1675802206
278,west bay,19.3667,-81.4167,84.27,73,40,18.41,KY,1675802206
279,sao jose da coroa grande,-8.8978,-35.1478,79.02,68,78,8.79,BR,1675802207
280,nantucket,41.2835,-70.0995,37.0,75,100,9.22,US,1675802170
281,chara,56.9064,118.2631,-11.56,79,96,2.33,RU,1675802207
282,cabo san lucas,22.8909,-109.9124,80.62,63,20,5.75,MX,1675801890
283,tuktoyaktuk,69.4541,-133.0374,-24.05,91,100,3.65,CA,1675801850
284,pandan,14.0453,124.1694,77.29,83,100,11.48,PH,1675802145
285,jalu,29.0331,21.5482,53.56,50,100,8.59,LY,1675802208
286,honiara,-9.4333,159.95,79.86,83,99,3.22,SB,1675802208
287,civitanova marche,43.307,13.7206,39.85,50,14,1.99,IT,1675802209
288,satipo,-11.2522,-74.6386,77.59,89,98,0.63,PE,1675802209
289,oxelosund,58.6706,17.1015,35.98,87,75,8.05,SE,1675802210
290,port lincoln,-34.7333,135.8667,65.16,82,2,12.93,AU,1675801856
291,suzhou,31.3114,120.6181,42.19,80,100,4.97,CN,1675802210
